trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.1, 'e': 0.6556592205741436}",30,8,-56.791448333848415,"{0: 14, 1: 7, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.1, 'e': 0.6491026283684022}",25,6,-40.152286722292345,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.1, 'e': 0.6426116020847181}",20,0,-38.14658700642064,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.1, 'e': 0.6361854860638709}",25,0,-34.45717806700294,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.6298236312032323}",25,0,-23.564109734713174,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.6235253948912}",20,0,-46.061131780288,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.617290140942288}",20,0,-95.23366358609123,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.611117239532865}",20,5,-39.543262277839546,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.1, 'e': 0.6050060671375364}",30,0,-75.16377916262925,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.598956006466161}",25,14,-9.191374247992329,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.5929664464014994}",25,0,-132.3582577167627,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.1, 'e': 0.5870367819374844}",20,6,8.82308593239444,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.5811664141181095}",25,0,-97.21112096367865,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.5753547499769285}",25,15,-10.575406752002708,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.5696012024771592}",20,0,-12.643883560568316,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.5639051904523875}",30,0,-49.81313832347284,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.1, 'e': 0.5582661385478637}",25,0,-83.6899630225067,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.5526834771623851}",30,18,-34.8819090838933,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.5471566423907612}",25,0,-92.32388792926226,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.1, 'e': 0.5416850759668536}",25,6,-22.728570086946664,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.536268225207185}",20,1,-29.82790339651668,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.1, 'e': 0.5309055429551132}",25,0,-44.60889418214202,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.525596487525562}",25,0,1.473293647017266,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.1, 'e': 0.5203405226503064}",30,10,-58.07876257587956,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
67,False,"{'a': 0.1, 'e': 0.5151371174238033}",25,16,-3.576460702025839,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.5099857462495653}",30,0,-26.061549164367,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.1, 'e': 0.5048858887870696}",25,9,-28.50175211315068,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.1, 'e': 0.4998370298991989}",20,0,-56.854613720687375,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.49483865960020695}",20,0,-44.80057737258876,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.4898902730042049}",25,15,-10.861294577263232,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.48499137027416284}",20,2,-1.3528964847244511,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.4801414565714212}",25,0,-34.69371400499031,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
75,False,"{'a': 0.1, 'e': 0.47534004200570695}",20,0,-0.43961723938337793,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.1, 'e': 0.4705866415856499}",20,0,-1.25416526630525,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.1, 'e': 0.46588077516979337}",25,0,-62.13185541176228,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
